iter	Passed	Remaining
480	2337	2521
481	2341	2516
482	2345	2510
483	2350	2505
484	2355	2501
485	2360	2496
486	2365	2491
487	2369	2486
488	2374	2481
489	2378	2475
490	2383	2470
491	2387	2465
492	2392	2460
493	2396	2455
494	2401	2449
495	2405	2444
496	2410	2439
497	2414	2434
498	2419	2428
499	2423	2423
500	2428	2418
501	2432	2413
502	2437	2408
503	2442	2403
504	2447	2398
505	2453	2395
506	2458	2390
507	2462	2385
508	2467	2380
509	2471	2374
510	2476	2369
511	2480	2364
512	2485	2359
513	2490	2354
514	2494	2349
515	2499	2344
516	2504	2339
517	2508	2334
518	2513	2329
519	2517	2324
520	2522	2319
521	2526	2313
522	2531	2308
523	2537	2305
524	2542	2300
525	2547	2295
526	2552	2290
527	2557	2286
528	2562	2281
529	2567	2276
530	2572	2271
531	2577	2267
532	2582	2262
533	2587	2258
534	2592	2253
535	2597	2248
536	2601	2243
537	2606	2238
538	2611	2233
539	2616	2229
540	2621	2224
541	2626	2219
542	2631	2214
543	2636	2209
544	2640	2204
545	2646	2200
546	2651	2196
547	2656	2191
548	2661	2186
549	2666	2181
550	2671	2177
551	2677	2172
552	2682	2167
553	2687	2163
554	2692	2158
555	2697	2153
556	2702	2149
557	2707	2144
558	2711	2139
559	2716	2134
560	2721	2129
561	2726	2124
562	2731	2120
563	2736	2115
564	2741	2110
565	2746	2105
566	2751	2101
567	2756	2096
568	2761	2091
569	2766	2086
570	2771	2082
571	2776	2077
572	2781	2072
573	2786	2067
574	2791	2063
575	2796	2058
576	2801	2053
577	2806	2048
578	2810	2043
579	2815	2039
580	2820	2034
581	2825	2029
582	2830	2024
583	2835	2020
584	2840	2015
585	2845	2010
586	2850	2005
587	2855	2001
588	2860	1996
589	2865	1991
590	2870	1986
591	2875	1982
592	2881	1977
593	2886	1972
594	2891	1968
595	2896	1963
596	2901	1958
597	2905	1953
598	2910	1948
599	2915	1943
600	2920	1938
601	2925	1934
602	2930	1929
603	2936	1924
604	2942	1921
605	2947	1916
606	2951	1911
607	2956	1906
608	2961	1901
609	2966	1896
610	2971	1891
611	2976	1886
612	2981	1882
613	2986	1877
614	2991	1872
615	2996	1867
616	3001	1862
617	3006	1858
618	3011	1853
619	3015	1848
620	3020	1843
621	3025	1838
622	3030	1833
623	3035	1828
624	3040	1824
625	3045	1819
626	3050	1814
627	3055	1809
628	3060	1804
629	3065	1800
630	3070	1795
631	3075	1790
632	3080	1785
633	3085	1780
634	3089	1776
635	3094	1771
636	3099	1766
637	3104	1761
638	3109	1756
639	3113	1751
640	3118	1746
641	3122	1741
642	3127	1736
643	3132	1731
644	3136	1726
645	3140	1721
646	3145	1716
647	3150	1711
648	3154	1706
649	3159	1701
650	3163	1696
651	3168	1690
652	3172	1685
653	3177	1680
654	3181	1675
655	3185	1670
656	3190	1665
657	3195	1660
658	3199	1655
659	3204	1650
660	3208	1645
661	3213	1640
662	3217	1635
663	3222	1630
664	3226	1625
665	3231	1620
666	3235	1615
667	3240	1610
668	3245	1605
669	3249	1600
670	3254	1595
671	3259	1590
672	3264	1585
673	3268	1581
674	3273	1576
675	3277	1570
676	3282	1566
677	3286	1561
678	3291	1555
679	3295	1551
680	3300	1546
681	3304	1541
682	3309	1536
683	3314	1531
684	3320	1526
685	3325	1522
686	3330	1517
687	3336	1513
688	3342	1508
689	3347	1503
690	3352	1499
691	3357	1494
692	3363	1489
693	3368	1485
694	3373	1480
695	3377	1475
696	3382	1470
697	3387	1465
698	3391	1460
699	3396	1455
700	3400	1450
701	3405	1445
702	3409	1440
703	3414	1435
704	3418	1430
705	3425	1426
706	3429	1421
707	3433	1416
708	3438	1411
709	3443	1406
710	3447	1401
711	3452	1396
712	3457	1391
713	3461	1386
714	3466	1381
715	3470	1376
716	3475	1371
717	3480	1366
718	3485	1362
719	3489	1357
720	3493	1352
721	3498	1347
722	3503	1342
723	3507	1337
724	3512	1332
725	3516	1327
726	3521	1322
727	3526	1317
728	3530	1312
729	3535	1307
730	3539	1302
731	3544	1297
732	3548	1292
733	3553	1287
734	3557	1282
735	3562	1277
736	3566	1272
737	3571	1267
738	3575	1262
739	3580	1257
740	3584	1252
741	3589	1247
742	3593	1242
743	3597	1237
744	3602	1233
745	3607	1228
746	3611	1223
747	3616	1218
748	3620	1213
749	3625	1208
750	3629	1203
751	3633	1198
752	3638	1193
753	3642	1188
754	3647	1183
755	3651	1178
756	3656	1173
757	3660	1168
758	3665	1163
759	3669	1158
760	3674	1153
761	3678	1149
762	3683	1144
763	3687	1139
764	3692	1134
765	3696	1129
766	3701	1124
767	3705	1119
768	3710	1114
769	3715	1109
770	3719	1104
771	3723	1099
772	3728	1094
773	3733	1090
774	3737	1085
775	3742	1080
776	3746	1075
777	3751	1070
778	3755	1065
779	3760	1060
780	3765	1055
781	3769	1050
782	3773	1045
783	3778	1040
784	3782	1035
785	3786	1031
786	3791	1026
787	3795	1021
788	3800	1016
789	3804	1011
790	3808	1006
791	3813	1001
792	3817	996
793	3822	991
794	3826	986
795	3831	981
796	3836	977
797	3840	972
798	3845	967
799	3850	962
800	3854	957
801	3859	952
802	3864	948
803	3869	943
804	3875	938
805	3880	933
806	3884	929
807	3889	924
808	3893	919
809	3898	914
810	3902	909
811	3907	904
812	3912	899
813	3917	895
814	3921	890
815	3927	885
816	3932	880
817	3936	875
818	3940	870
819	3945	866
820	3949	861
821	3954	856
822	3958	851
823	3965	846
824	3970	842
825	3975	837
826	3980	832
827	3986	828
828	3991	823
829	3996	818
830	4001	813
831	4007	809
832	4011	804
833	4016	799
834	4021	794
835	4025	789
836	4029	784
837	4034	779
838	4039	775
839	4044	770
840	4048	765
841	4053	760
842	4057	755
843	4061	750
844	4066	745
845	4070	741
846	4075	736
847	4079	731
848	4084	726
849	4088	721
850	4093	716
851	4097	711
852	4102	706
853	4106	702
854	4111	697
855	4115	692
856	4120	687
857	4124	682
858	4129	677
859	4133	672
860	4138	668
861	4142	663
862	4147	658
863	4151	653
864	4156	648
865	4161	643
866	4165	638
867	4169	634
868	4174	629
869	4179	624
870	4183	619
871	4188	614
872	4193	609
873	4197	605
874	4202	600
875	4206	595
876	4210	590
877	4215	585
878	4220	580
879	4224	576
880	4229	571
881	4233	566
882	4237	561
883	4242	556
884	4246	551
885	4251	547
886	4255	542
887	4260	537
888	4264	532
889	4269	527
890	4273	522
891	4278	518
892	4282	513
893	4287	508
894	4291	503
895	4296	498
896	4301	493
897	4305	489
898	4310	484
899	4315	479
900	4319	474
901	4324	469
902	4328	465
903	4333	460
904	4337	455
905	4342	450
906	4348	445
907	4353	441
908	4357	436
909	4362	431
910	4366	426
911	4371	421
912	4375	416
913	4380	412
914	4384	407
915	4389	402
916	4393	397
917	4398	392
918	4403	388
919	4407	383
920	4411	378
921	4416	373
922	4420	368
923	4425	363
924	4429	359
925	4434	354
926	4438	349
927	4443	344
928	4447	339
929	4452	335
930	4456	330
931	4461	325
932	4465	320
933	4470	315
934	4474	311
935	4479	306
936	4483	301
937	4488	296
938	4492	291
939	4497	287
940	4501	282
941	4506	277
942	4510	272
943	4515	267
944	4519	263
945	4524	258
946	4529	253
947	4533	248
948	4538	243
949	4542	239
950	4547	234
951	4551	229
952	4557	224
953	4562	220
954	4567	215
955	4572	210
956	4576	205
957	4581	200
958	4586	196
959	4590	191
960	4595	186
961	4599	181
962	4604	176
963	4608	172
964	4613	167
965	4618	162
966	4622	157
967	4626	152
968	4631	148
969	4635	143
970	4640	138
971	4644	133
972	4649	129
973	4653	124
974	4658	119
975	4662	114
976	4666	109
977	4671	105
978	4675	100
979	4680	95
980	4684	90
981	4689	85
982	4693	81
983	4698	76
984	4702	71
985	4707	66
986	4711	62
987	4716	57
988	4720	52
989	4725	47
990	4729	42
991	4734	38
992	4738	33
993	4743	28
994	4747	23
995	4752	19
996	4756	14
997	4760	9
998	4765	4
999	4769	0
